ip,first_seen,last_seen,count,severity,signature,protocol,country
185.156.73.234,2025-07-16T11:50:01.033000+00:00,2025-07-25T01:03:37+00:00,60,high,"ET COMPROMISED Known Compromised or Hostile Host Traffic group 8",TCP,NL
193.32.162.141,2025-07-13T10:22:38.935000+00:00,2025-07-16T01:00:09.157000+00:00,2,high,"ET COMPROMISED Known Compromised or Hostile Host Traffic group 9",TCP,GB
193.32.162.145,2025-07-13T18:00:47.199000+00:00,2025-07-25T13:47:01+00:00,6,high,"ET COMPROMISED Known Compromised or Hostile Host Traffic group 9",TCP,GB
193.32.162.146,2025-07-12T23:56:05.594000+00:00,2025-07-30T01:02:53+00:00,13,high,"ET COMPROMISED Known Compromised or Hostile Host Traffic group 9",TCP,GB
193.32.162.151,2025-07-14T13:45:53.041000+00:00,2025-07-27T10:43:10+00:00,9,high,"ET COMPROMISED Known Compromised or Hostile Host Traffic group 9",TCP,GB
193.32.162.157,2025-07-12T13:35:33.134000+00:00,2025-07-12T13:35:33.134000+00:00,1,high,"ET COMPROMISED Known Compromised or Hostile Host Traffic group 9",TCP,
193.46.255.217,2025-08-06T19:14:08+00:00,2025-08-08T06:41:52+00:00,13,high,"ET COMPROMISED Known Compromised or Hostile Host Traffic group 9",TCP,GB
194.164.169.45,2025-07-30T03:36:31+00:00,2025-07-30T03:36:31+00:00,1,high,"ET COMPROMISED Known Compromised or Hostile Host Traffic group 8",TCP,ES
195.178.110.133,2025-07-28T01:06:27+00:00,2025-07-28T01:06:27+00:00,1,high,"ET COMPROMISED Known Compromised or Hostile Host Traffic group 8",TCP,AD
195.178.110.211,2025-07-16T00:22:18.337000+00:00,2025-08-04T13:14:09+00:00,6,high,"ET COMPROMISED Known Compromised or Hostile Host Traffic group 8",TCP,AD
195.178.110.224,2025-07-15T10:45:42.035000+00:00,2025-07-18T02:06:35.426000+00:00,3,high,"ET COMPROMISED Known Compromised or Hostile Host Traffic group 9",TCP,AD
196.251.70.221,2025-08-04T20:18:09+00:00,2025-08-04T20:18:09+00:00,1,high,"ET COMPROMISED Known Compromised or Hostile Host Traffic group 9",TCP,NL
196.251.84.34,2025-07-19T20:29:48.047000+00:00,2025-07-19T20:29:48.047000+00:00,1,high,"ET COMPROMISED Known Compromised or Hostile Host Traffic group 9",TCP,NL
196.251.86.239,2025-08-07T15:57:55+00:00,2025-08-07T15:57:55+00:00,1,high,"ET COMPROMISED Known Compromised or Hostile Host Traffic group 10",TCP,NL
196.251.116.162,2025-08-02T02:54:24+00:00,2025-08-02T02:54:24+00:00,1,high,"ET COMPROMISED Known Compromised or Hostile Host Traffic group 9",TCP,NL
196.251.116.191,2025-07-18T09:11:49.601000+00:00,2025-07-18T09:11:49.601000+00:00,1,high,"ET COMPROMISED Known Compromised or Hostile Host Traffic group 8",TCP,NL
207.167.64.24,2025-07-13T01:04:17.486000+00:00,2025-07-28T01:45:47+00:00,4,high,"ET COMPROMISED Known Compromised or Hostile Host Traffic group 10",TCP,US
