ip,first_seen,last_seen,count,severity,signature,protocol,country
179.60.150.123,2025-07-12T03:55:29.072000+00:00,2025-07-20T01:37:27.080000+00:00,3,high,"ET WEB_SERVER SQL Injection Attempt",TCP,BZ
193.46.255.93,2025-07-20T18:48:50.005000+00:00,2025-07-20T18:48:50.005000+00:00,1,high,"ET WEB_SERVER SQL Injection Select Sleep Time Delay",TCP,GB
