ip,country,region,city,isp,organization,category,severity,offense_count,first_seen,last_seen,service,policy_type,signature_id,is_targeted,is_cgnat
185.220.101.36,Germany,Brandenburg,Brandenburg,Stiftung Erneuerbare Freiheit,ForPrivacyNET,Tor_Traffic,Medium,1,2025-07-07 10:10:49.204485,2025-07-07 10:10:49.204488,HTTP,UDM_Pro_Blocked_TOR,999998,False,False
45.141.215.63,Poland,Mazovia,Warsaw,1337 Services GmbH,1337 Services GmbH,Tor_Traffic,Medium,1,2025-07-07 10:10:48.912909,2025-07-07 10:10:48.912913,HTTP,UDM_Pro_Blocked_TOR,999998,False,False
193.189.100.205,Sweden,Stockholm County,Stockholm,KeFF Networks Ltd,KeFF Networks Ltd,Tor_Traffic,Medium,1,2025-07-07 10:10:48.719003,2025-07-07 10:10:48.719007,HTTP,UDM_Pro_Blocked_TOR,999998,False,False
94.142.244.16,The Netherlands,North Holland,Amsterdam,Netwerkvereniging Coloclue,Coloclue Member,Tor_Traffic,Medium,1,2025-07-07 10:10:48.519750,2025-07-07 10:10:48.519754,HTTP,UDM_Pro_Blocked_TOR,999998,False,False
