ip,first_seen,last_seen,count,severity,signature,protocol,country
45.157.17.251,2025-07-16T15:29:05.043000+00:00,2025-07-16T15:29:05.043000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,NL
45.157.157.71,2025-07-17T06:13:13.132000+00:00,2025-07-17T06:36:06.065000+00:00,2,medium,"ET SCAN Potential SSH Scan",TCP,BR
45.159.189.214,2025-07-16T04:07:05.044000+00:00,2025-07-16T07:57:51.162000+00:00,9,medium,"ET SCAN Potential SSH Scan",TCP,NL
45.169.200.254,2025-07-14T03:26:54.649000+00:00,2025-07-19T10:58:51.289000+00:00,2,medium,"ET SCAN Potential SSH Scan",TCP,BR
45.176.12.6,2025-07-25T17:16:35+00:00,2025-07-25T17:35:37+00:00,2,medium,"ET SCAN Potential SSH Scan",TCP,BR
45.207.201.42,2025-07-31T00:47:36+00:00,2025-07-31T00:47:36+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,US
45.221.239.2,2025-07-13T05:52:54.948000+00:00,2025-07-13T06:34:48.663000+00:00,2,medium,"ET SCAN Potential SSH Scan",TCP,
47.81.8.178,2025-07-15T16:43:18.750000+00:00,2025-07-15T16:43:18.750000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,TH
47.88.62.146,2025-07-27T14:35:38+00:00,2025-07-27T14:58:51+00:00,2,medium,"ET SCAN Potential SSH Scan",TCP,US
47.90.165.190,2025-07-25T08:19:19+00:00,2025-07-25T08:45:11+00:00,3,medium,"ET SCAN Potential SSH Scan",TCP,US
47.97.51.208,2025-07-18T06:51:59.669000+00:00,2025-07-18T06:51:59.669000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,CN
47.108.74.203,2025-07-14T12:36:11.072000+00:00,2025-07-21T04:21:05.490000+00:00,2,medium,"ET SCAN Potential SSH Scan",TCP,CN
47.236.70.239,2025-07-30T16:50:16+00:00,2025-07-30T16:50:16+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,SG
47.238.163.1,2025-07-22T04:29:20.057000+00:00,2025-07-22T04:29:20.057000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,HK
47.245.125.88,2025-07-16T21:31:59.558000+00:00,2025-07-16T21:31:59.558000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,SG
47.254.0.169,2025-07-15T21:18:52.285000+00:00,2025-07-15T21:18:52.285000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,US
47.254.65.73,2025-07-25T12:37:54+00:00,2025-07-25T12:37:54+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,US
49.72.212.22,2025-07-29T08:38:00+00:00,2025-07-29T08:38:00+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,CN
49.232.180.153,2025-07-18T10:19:58.096000+00:00,2025-07-18T10:19:58.096000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,CN
51.75.68.81,2025-07-16T01:12:31.920000+00:00,2025-07-16T03:54:53.098000+00:00,10,medium,"ET SCAN Potential SSH Scan",TCP,DE
52.53.196.202,2025-07-15T02:25:39.889000+00:00,2025-07-15T02:25:39.889000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,US
52.173.135.5,2025-07-14T04:23:21.059000+00:00,2025-07-14T04:37:30.053000+00:00,2,medium,"ET SCAN Potential SSH Scan",TCP,US
52.187.9.8,2025-07-20T21:09:38.074000+00:00,2025-07-20T21:09:38.074000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,SG
58.90.46.223,2025-07-26T04:56:41+00:00,2025-07-26T04:56:41+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,JP
59.36.173.145,2025-07-18T02:54:21.190000+00:00,2025-07-18T02:54:21.190000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,CN
61.182.241.146,2025-07-19T15:46:09.667000+00:00,2025-07-19T15:46:09.667000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,CN
62.133.60.223,2025-07-30T04:26:54+00:00,2025-07-30T04:26:54+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,DE
64.23.152.202,2025-07-21T14:08:42.770000+00:00,2025-07-21T14:08:42.770000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,US
